Time (UTC),Latitude,Longitude,Air Temperature QC,Air Temperature,Air pressure QC,Air pressure,Humidity QC,Humidity,Wind speed QC,Wind speed,Wind Direction QC,Wind Direction
day-month-year hour:minute:second,Decimal Degrees East,Decimal Degrees North,QC Code,Degrees Celsius,QC Code,millibar,QC Code,percent,QC Code,meters per second,QC Code,Degrees clockwise from due north
Dd-MMM-yyyy HH:mm:ss,°E,°N,int,°C,int,mb,int,%,int,m/s,int,°
01-Jan-24 05:42:00,38.03352,-76.33749,1,5.2,1,1016.1,,,1,4.55,1,171.1
01-Jan-24 05:48:00,38.03352,-76.33749,1,5.2,1,1016.28,,,1,4.34,1,169.3
01-Jan-24 05:54:00,38.03352,-76.33749,1,5.11,1,1015.86,,,1,4.08,1,170.2
01-Jan-24 06:00:00,38.03352,-76.33749,1,5.06,1,1016.3,,,1,3.9,1,177.2
01-Jan-24 06:06:00,38.03352,-76.33749,1,5.01,1,1015.73,,,1,3.76,1,174.3
01-Jan-24 06:12:00,38.03352,-76.33749,1,5.1,1,1016.33,,,1,3.88,1,182.7
01-Jan-24 06:18:00,38.03352,-76.33750,1,5.21,1,1016.26,,,1,4.1,1,187.6
01-Jan-24 06:24:00,38.03352,-76.33749,1,5.2,1,1016.44,,,1,3.84,1,189.4
01-Jan-24 06:30:00,38.03352,-76.33750,1,5.21,1,1016.3,,,1,3.09,1,184.4
01-Jan-24 06:36:00,38.03352,-76.33750,1,5.3,1,1016.52,,,1,4.28,1,200.8
01-Jan-24 06:42:00,38.03350,-76.33750,1,5.31,1,1016.46,,,1,3.52,1,202.9
01-Jan-24 06:48:00,38.03350,-76.33749,1,5.31,1,1016.43,,,1,4.64,1,202.8
01-Jan-24 06:54:00,38.03352,-76.33750,1,5.21,1,1016.27,,,1,4.73,1,196
01-Jan-24 07:00:00,38.03352,-76.33749,1,5.2,1,1016.25,,,1,5.16,1,192.9
01-Jan-24 07:06:00,38.03352,-76.33749,1,5.1,1,1016.2,,,1,4.47,1,190.9
01-Jan-24 07:12:00,38.03352,-76.33749,1,5.14,1,1016.34,,,1,4.48,1,196.9
01-Jan-24 07:18:00,38.03352,-76.33749,1,5.2,1,1016.45,,,1,2.89,1,194.9
01-Jan-24 07:24:00,38.03352,-76.33749,1,5.2,1,1016.25,,,1,3.85,1,178.4
01-Jan-24 07:30:00,38.03352,-76.33749,1,5.2,1,1016.3,,,1,4.47,1,175.8
01-Jan-24 07:36:00,38.03352,-76.33749,1,5.21,1,1016.23,,,1,4.79,1,172.3
01-Jan-24 07:42:00,38.03352,-76.33749,1,5.21,1,1016.08,,,1,5.14,1,172.5
01-Jan-24 07:48:00,38.03352,-76.33749,2,5.2,2,1015.65,,,2,4.67,2,172
01-Jan-24 07:54:00,38.03352,-76.33749,1,5.2,1,1015.94,,,1,4.75,1,172.3
01-Jan-24 08:00:00,38.03352,-76.33750,1,5.21,1,1015.54,,,1,3.81,1,170.8
01-Jan-24 08:06:00,38.03352,-76.33750,1,5.21,1,1016.09,,,1,3.57,1,178.9
01-Jan-24 08:12:00,38.03352,-76.33749,1,5.21,1,1015.66,,,1,3.56,1,173.8
